# Client and world-profile settings. Pipe-separated; run python catalog/build_catalog.py after editing.
# target: client-option (system\Option.ini) | client-l2ini (system\l2.ini, encrypted) | world-profile (L2Everdream-data\worlds\world-profile.json)
# editor: toggle | number | slider | choice | text | secret
# options: value=Label;value=Label (choice editor)
target|file|section|key|group|name|description|editor|valueType|options|unit|min|max|default|advanced|managedReason|secret
# ---------------------------------------------------------------- world-profile.json
world-profile|world-profile.json||name|world.rules|World name|The name of your saved world. The launcher derives the world's database from this name, so it can only be changed in the launcher.|text|string||||||0|Renaming the world would point it at a different, empty database. Rename it in the launcher instead.|0
world-profile|world-profile.json||simsPercent|world.population|World sims|How many simulated players fill your world, compared with the full shipped world. 100% is the world as intended; lower it if your computer struggles.|slider|int||%|25|100|100|0||0
world-profile|world-profile.json||shopsPercent|world.population|Offline shops|How many sim-run offline shops appear in towns. Above 100% needs "Allow more shops than shipped".|slider|int||%|0|200|100|0||0
world-profile|world-profile.json||shopsOverArmed|world.population|Allow more shops than shipped|Lets the offline shops setting go up to 200%. More shops use more memory.|toggle|bool|||||false|0||0
world-profile|world-profile.json||freeClassChange|world.rules|Free class change|On: class changes at level 20, 40 and 76 are free from the Class Masters. Off: the retail class-change quests are required. The launcher writes the matching ClassMaster.xml when the world starts.|toggle|bool|||||true|0||0
# ---------------------------------------------------------------- Option.ini [Video]
client-option|Option.ini|Video|GamePlayViewportX|clientgfx.display|Resolution width|Width of the game in pixels.|number|int||px|640|7680|1024|0||0
client-option|Option.ini|Video|GamePlayViewportY|clientgfx.display|Resolution height|Height of the game in pixels.|number|int||px|480|4320|768|0||0
client-option|Option.ini|Video|StartupFullScreen|clientgfx.display|Start in full screen||toggle|bool|||||True|0||0
client-option|Option.ini|Video|RefreshRate|clientgfx.display|Refresh rate|Should match your monitor.|number|int||Hz|30|360|60|0||0
client-option|Option.ini|Video|ColorBits|clientgfx.display|Color depth||choice|int|16=16-bit;32=32-bit||||32|0||0
client-option|Option.ini|Video|Gamma|clientgfx.display|Brightness (gamma)||slider|decimal|||0|1|0.5|0||0
client-option|Option.ini|Video|TextureDetail|clientgfx.detail|Texture detail|Same as the in-game Texture Detail option. If unsure which number is which, change it in game and compare.|choice|int|0=0;1=1;2=2||||0|0||0
client-option|Option.ini|Video|ModelDetail|clientgfx.detail|Character model detail|Same as the in-game Model Detail option.|choice|int|0=0;1=1;2=2||||0|0||0
client-option|Option.ini|Video|UseTrilinear|clientgfx.detail|Trilinear texture filtering||toggle|bool|||||True|0||0
client-option|Option.ini|Video|AntiAliasing|clientgfx.detail|Anti-aliasing||choice|int|0=Off;1=On||||0|0||0
client-option|Option.ini|Video|PawnShadow|clientgfx.detail|Character shadows||toggle|bool|||||True|0||0
client-option|Option.ini|Video|RenderDeco|clientgfx.detail|Grass and decorations||toggle|bool|||||True|0||0
client-option|Option.ini|Video|WeatherEffect|clientgfx.detail|Weather effects||choice|int|0=Off;1=On||||0|0||0
client-option|Option.ini|Video|PostProc|clientgfx.detail|Post-processing effects||choice|int|0=Off;1=On||||0|0||0
client-option|Option.ini|Video|GPUAnimation|clientgfx.detail|Animate characters on the graphics card||toggle|bool|||||True|0||0
client-option|Option.ini|Video|SkipAnim|clientgfx.detail|Skip animations|Lower-quality animations for more speed.|choice|int|0=Off;1=On||||0|0||0
client-option|Option.ini|Video|IsKeepMinFrameRate|clientgfx.detail|Lower detail to keep the frame rate up||toggle|bool|||||True|0||0
client-option|Option.ini|Video|RenderActorLimited|clientgfx.distance|Limit how many characters are drawn|Same as the in-game character limit option. Higher numbers draw more characters; useful in crowded towns full of sims.|number|int|||0|10|6|0||0
client-option|Option.ini|Video|PawnClippingRange|clientgfx.distance|Character draw distance (in-game option)||choice|int|0=0;1=1;2=2;3=3;4=4||||0|0||0
client-option|Option.ini|Video|TerrainClippingRange|clientgfx.distance|Terrain draw distance (in-game option)||choice|int|0=0;1=1;2=2;3=3;4=4||||0|0||0
client-option|Option.ini|Video|UseColorCursor|clientgfx.window|Colored mouse cursor||toggle|bool|||||True|0||0
# ---------------------------------------------------------------- Option.ini [ClippingRange] / [L2WaterEffect]
client-option|Option.ini|ClippingRange|Terrain|clientgfx.distance|Terrain distance||number|decimal|||0|10|4|1||0
client-option|Option.ini|ClippingRange|Actor|clientgfx.distance|Object distance||number|decimal|||0|10|4|1||0
client-option|Option.ini|ClippingRange|StaticMesh|clientgfx.distance|Building distance||number|decimal|||0|10|2|1||0
client-option|Option.ini|ClippingRange|StaticMeshLod|clientgfx.distance|Building detail distance||number|decimal|||0|10|4|1||0
client-option|Option.ini|ClippingRange|Pawn|clientgfx.distance|Character distance||number|decimal|||0|10|1|1||0
client-option|Option.ini|L2WaterEffect|IsUseEffect|clientgfx.detail|Water reflections||toggle|bool|||||False|0||0
client-option|Option.ini|L2WaterEffect|EffectType|clientgfx.detail|Water reflection quality||choice|int|0=0;1=1;2=2||||0|1||0
# ---------------------------------------------------------------- Option.ini [Audio]
client-option|Option.ini|Audio|SoundVolume|clientaudio.volume|Sound effects volume||slider|decimal|||0|1|0.6|0||0
