# Friendly names for server settings. Pipe-separated; edit freely, then run: python catalog/build_catalog.py
# target      = server-game or server-login
# file        = path under config/ exactly as on disk
# key         = the real setting name in the file (never change this column)
# name        = what the config manager shows
# unit        = optional unit shown beside the value (×, %, seconds, ms, minutes, hours, days, adena, ...)
# description = optional; replaces the file's own comment when the comment is unhelpful
target|file|key|name|unit|description
# ---------------------------------------------------------------- Rates.ini
server-game|Rates.ini|RateXp|Experience (XP) rate|times|How fast characters gain experience from monsters. 1 = retail.
server-game|Rates.ini|RateSp|Skill point (SP) rate|times|How fast characters gain skill points from monsters. 1 = retail.
server-game|Rates.ini|RatePartyXp|Extra experience for being in a party|times|Multiplies only the size bonus a party gets, not the experience itself. The experience rate does that. At 1 a party still earns the normal party bonus.
server-game|Rates.ini|RatePartySp|Extra skill points for being in a party|times|Multiplies only the size bonus a party gets, not the skill points themselves. The skill point rate does that.
server-game|Rates.ini|RateDropManor|Manor crop harvest rate|times|
server-game|Rates.ini|RateKarmaLost|Karma lost per death or kill|times|
server-game|Rates.ini|RateKarmaExpLost|Experience lost while carrying karma|times|
server-game|Rates.ini|RateSiegeGuardsPrice|Siege guard hiring price|times|
server-game|Rates.ini|RateExtractable|Rewards from opening boxes and extractable items|times|
server-game|Rates.ini|RateTeleportFee|Gatekeeper teleport price|times|Scales the adena price of normal town gatekeeper teleports. 1 = retail prices, 0.5 = half price.
server-game|Rates.ini|QuestItemDropAmountMultiplier|Quest item drop amount|times|
server-game|Rates.ini|RateQuestRewardXP|Quest reward experience|times|
server-game|Rates.ini|RateQuestRewardSP|Quest reward skill points|times|
server-game|Rates.ini|RateQuestRewardAdena|Quest reward adena|times|
server-game|Rates.ini|UseQuestRewardMultipliers|Use separate quest reward multipliers per item type||
server-game|Rates.ini|RateQuestReward|Quest reward items (general)|times|
server-game|Rates.ini|RateQuestRewardPotion|Quest reward potions|times|
server-game|Rates.ini|RateQuestRewardScroll|Quest reward scrolls|times|
server-game|Rates.ini|RateQuestRewardRecipe|Quest reward recipes|times|
server-game|Rates.ini|RateQuestRewardMaterial|Quest reward materials|times|
server-game|Rates.ini|MonsterExpMaxLevelDifference|No experience from monsters more than this many levels below you|levels|
server-game|Rates.ini|DeathDropAmountMultiplier|Drop amount (how much per drop)|times|Multiplies the size of each drop. This keeps working however high you set it, so it is the safe way to raise rates.
server-game|Rates.ini|DeathDropChanceMultiplier|Drop chance (how often something drops)|times|Multiplies how often a drop happens. Each drop is rolled once, so anything above a 100% chance is wasted: past that point only the drop amount still helps. The Rates tab works this out for you.
server-game|Rates.ini|SpoilDropAmountMultiplier|Spoil amount|times|
server-game|Rates.ini|SpoilDropChanceMultiplier|Spoil chance|times|
server-game|Rates.ini|HerbDropAmountMultiplier|Herb drop amount|times|
server-game|Rates.ini|HerbDropChanceMultiplier|Herb drop chance|times|
server-game|Rates.ini|RaidDropAmountMultiplier|Raid boss drop amount|times|
server-game|Rates.ini|RaidDropChanceMultiplier|Raid boss drop chance|times|
server-game|Rates.ini|DropAmountMultiplierByItemId|Drop amount for specific items (adena is item 57)||Format: itemId,multiplier;itemId,multiplier. Items listed here use this instead of the general drop amount, not as well as it.
server-game|Rates.ini|DropChanceMultiplierByItemId|Drop chance for specific items (adena is item 57)||Format: itemId,multiplier;itemId,multiplier. Items listed here use this instead of the general drop chance, not as well as it.
server-game|Rates.ini|DropMaxOccurrencesNormal|Most different items a normal monster can drop at once||A kill stops here however high the rates go, so raising the drop amount gives bigger piles rather than more kinds of item.
server-game|Rates.ini|DropMaxOccurrencesRaidboss|Most different items a raid boss can drop at once||
server-game|Rates.ini|DropAdenaMinLevelDifference|Adena starts dropping less when you are this many levels above the monster|levels|
server-game|Rates.ini|DropAdenaMaxLevelDifference|Adena drop reaches its lowest at this many levels above the monster|levels|
server-game|Rates.ini|DropAdenaMinLevelGapChance|Lowest adena drop chance when far above the monster|%|
server-game|Rates.ini|DropItemMinLevelDifference|Items start dropping less when you are this many levels above the monster|levels|
server-game|Rates.ini|DropItemMaxLevelDifference|Item drop reaches its lowest at this many levels above the monster|levels|
server-game|Rates.ini|DropItemMinLevelGapChance|Lowest item drop chance when far above the monster|%|
server-game|Rates.ini|EventItemMaxLevelDifference|Event items stop dropping beyond this level difference|levels|
server-game|Rates.ini|RateVitalityGain|Vitality gained|times|
server-game|Rates.ini|RateVitalityLost|Vitality used up per kill|times|
server-game|Rates.ini|RateRecoveryPeaceZone|Vitality recovery speed in towns|times|
server-game|Rates.ini|RateRecoveryOnReconnect|Vitality recovery speed while offline|times|
server-game|Rates.ini|PlayerDropLimit|Most items a normal player can lose on death||
server-game|Rates.ini|PlayerRateDrop|Chance a normal player drops something on death|%|
server-game|Rates.ini|PlayerRateDropItem|…of which is an inventory item|%|
server-game|Rates.ini|PlayerRateDropEquip|…of which is worn equipment|%|
server-game|Rates.ini|PlayerRateDropEquipWeapon|…of which is the weapon|%|
server-game|Rates.ini|KarmaDropLimit|Most items a player with karma can lose on death||
server-game|Rates.ini|KarmaRateDrop|Chance a player with karma drops something on death|%|
server-game|Rates.ini|KarmaRateDropItem|…of which is an inventory item (karma)|%|
server-game|Rates.ini|KarmaRateDropEquip|…of which is worn equipment (karma)|%|
server-game|Rates.ini|KarmaRateDropEquipWeapon|…of which is the weapon (karma)|%|
server-game|Rates.ini|PetXpRate|Pet experience rate|times|
server-game|Rates.ini|PetFoodRate|Pet food consumption|times|
server-game|Rates.ini|SinEaterXpRate|Sin Eater experience rate|times|
server-game|Rates.ini|BossDropEnable|Give extra drops from raid bosses||
server-game|Rates.ini|BossDropMinLevel|Extra drops: lowest raid boss level||
server-game|Rates.ini|BossDropMaxLevel|Extra drops: highest raid boss level||
server-game|Rates.ini|BossDropList|Extra drops: item list||Format: itemId,minAmount,maxAmount,chance;itemId,...
# ---------------------------------------------------------------- Player.ini
server-game|Player.ini|Delevel|Lose levels when experience drops below the level||
server-game|Player.ini|DecreaseSkillOnDelevel|Lower skill levels after losing a level||
server-game|Player.ini|AltWeightLimit|Carrying capacity|times|
server-game|Player.ini|RunSpeedBoost|Extra running speed for everyone||
server-game|Player.ini|DeathPenaltyChance|Chance of Death Penalty debuff when killed by a monster|%|
server-game|Player.ini|RespawnRestoreCP|CP restored on revival|%|
server-game|Player.ini|RespawnRestoreHP|HP restored on revival|%|
server-game|Player.ini|RespawnRestoreMP|MP restored on revival|%|
server-game|Player.ini|HpRegenMultiplier|HP regeneration speed|%|
server-game|Player.ini|MpRegenMultiplier|MP regeneration speed|%|
server-game|Player.ini|CpRegenMultiplier|CP regeneration speed|%|
