# How settings affect each other, shown on each setting's card. Pipe-separated; run python catalog/build_catalog.py.
# kind: requires = this setting only has an effect while <other> has <value> (value may be ">0", "true", "false" or an exact value)
#       affects  = this setting changes how <other> works (note says how); shown on both cards
# Settings are written target:file:key (targets: game, login, option, l2ini, world). Keep notes plain and short.
setting|kind|other|value|note
# ---------------------------------------------------------------- rates
game:Rates.ini:RatePartyXp|affects|game:Rates.ini:RateXp||Party experience is the normal experience rate plus this bonus, so both multiply what a party earns.
game:Rates.ini:RatePartySp|affects|game:Rates.ini:RateSp||Party skill points are the normal skill point rate plus this bonus.
game:Rates.ini:DeathDropChanceMultiplier|affects|game:Rates.ini:DeathDropAmountMultiplier||Chance and amount multiply: 5 × 5 means about 25 times the drops.
game:Rates.ini:SpoilDropChanceMultiplier|affects|game:Rates.ini:SpoilDropAmountMultiplier||Chance and amount multiply: 5 × 5 means about 25 times the spoils.
game:Rates.ini:DropAmountMultiplierByItemId|affects|game:Rates.ini:DeathDropAmountMultiplier||Items listed here (adena is 57) use their own amount instead of the general drop amount.
game:Rates.ini:DropChanceMultiplierByItemId|affects|game:Rates.ini:DeathDropChanceMultiplier||Items listed here use their own chance instead of the general drop chance.
game:Rates.ini:RateKarmaLost|affects|game:Rates.ini:RateXp||-1 means "use the experience rate".
game:Rates.ini:RateVitalityLevel1|requires|game:Player.ini:EnableVitality|true|Vitality rates do nothing while the vitality system is off.
game:Rates.ini:RateVitalityLevel2|requires|game:Player.ini:EnableVitality|true|Vitality rates do nothing while the vitality system is off.
game:Rates.ini:RateVitalityLevel3|requires|game:Player.ini:EnableVitality|true|Vitality rates do nothing while the vitality system is off.
game:Rates.ini:RateVitalityLevel4|requires|game:Player.ini:EnableVitality|true|Vitality rates do nothing while the vitality system is off.
game:Rates.ini:RateVitalityGain|requires|game:Player.ini:EnableVitality|true|Vitality rates do nothing while the vitality system is off.
game:Rates.ini:RateVitalityLost|requires|game:Player.ini:EnableVitality|true|Vitality rates do nothing while the vitality system is off.
game:Rates.ini:RateRecoveryPeaceZone|requires|game:Player.ini:EnableVitality|true|Vitality rates do nothing while the vitality system is off.
game:Rates.ini:RateRecoveryOnReconnect|requires|game:Player.ini:RecoverVitalityOnReconnect|true|Offline recovery speed only matters while offline recovery is on.
game:Rates.ini:BossDropMinLevel|requires|game:Rates.ini:BossDropEnable|true|Extra raid boss drops are off.
game:Rates.ini:BossDropMaxLevel|requires|game:Rates.ini:BossDropEnable|true|Extra raid boss drops are off.
game:Rates.ini:BossDropList|requires|game:Rates.ini:BossDropEnable|true|Extra raid boss drops are off.
game:Rates.ini:RateQuestRewardPotion|requires|game:Rates.ini:UseQuestRewardMultipliers|true|Per-type quest multipliers are only used when they are switched on; otherwise the general quest reward rate applies.
game:Rates.ini:RateQuestRewardScroll|requires|game:Rates.ini:UseQuestRewardMultipliers|true|Per-type quest multipliers are only used when they are switched on; otherwise the general quest reward rate applies.
game:Rates.ini:RateQuestRewardRecipe|requires|game:Rates.ini:UseQuestRewardMultipliers|true|Per-type quest multipliers are only used when they are switched on; otherwise the general quest reward rate applies.
game:Rates.ini:RateQuestRewardMaterial|requires|game:Rates.ini:UseQuestRewardMultipliers|true|Per-type quest multipliers are only used when they are switched on; otherwise the general quest reward rate applies.
game:Rates.ini:RateTeleportFee|affects|game:Player.ini:MaxFreeTeleportLevel||Characters at or below the free teleport level pay nothing, whatever the teleport price is.
game:Rates.ini:PlayerRateDrop|affects|game:PVP.ini:MinimumPKRequiredToDrop||Items only drop once a player has at least this many player kills.
game:Rates.ini:KarmaRateDrop|affects|game:PVP.ini:MinimumPKRequiredToDrop||Items only drop once a player has at least this many player kills.
# ---------------------------------------------------------------- player
game:Player.ini:RecoverVitalityOnReconnect|requires|game:Player.ini:EnableVitality|true|The vitality system is off.
game:Player.ini:StartingVitalityPoints|requires|game:Player.ini:EnableVitality|true|The vitality system is off.
game:Player.ini:RaidbossUseVitality|requires|game:Player.ini:EnableVitality|true|The vitality system is off.
game:Player.ini:SkillDurationList|requires|game:Player.ini:EnableModifySkillDuration|true|This list is ignored until custom buff durations are switched on.
game:Player.ini:SkillReuseList|requires|game:Player.ini:EnableModifySkillReuse|true|This list is ignored until custom skill cooldowns are switched on.
game:Player.ini:AutoLearnSkillsWithoutItems|requires|game:Player.ini:AutoLearnSkills|true|Only applies while skills are learned automatically.
game:Player.ini:AutoLearnForgottenScrollSkills|requires|game:Player.ini:AutoLearnSkills|true|Only applies while skills are learned automatically.
game:Player.ini:MaxOffsetOnTeleport|requires|game:Player.ini:OffsetOnTeleportEnabled|true|Teleport scatter is off.
game:Player.ini:MaxPetitionsPerPlayer|requires|game:Player.ini:PetitioningAllowed|true|Petitions are turned off.
game:Player.ini:MaxPetitionsPending|requires|game:Player.ini:PetitioningAllowed|true|Petitions are turned off.
game:Player.ini:MaxPetitionsPending|affects|game:Player.ini:MaxPetitionsPerPlayer||The total waiting must be higher than the number one player may send.
game:Player.ini:PartyXpCutoffPercent|requires|game:Player.ini:PartyXpCutoffMethod|percentage|Only used when the sharing rule is "percentage".
game:Player.ini:PartyXpCutoffLevel|requires|game:Player.ini:PartyXpCutoffMethod|level|Only used when the sharing rule is "level".
game:Player.ini:PartyXpCutoffGaps|requires|game:Player.ini:PartyXpCutoffMethod|highfive|Only used when the sharing rule is "highfive".
game:Player.ini:PartyXpCutoffGapPercent|requires|game:Player.ini:PartyXpCutoffMethod|highfive|Only used when the sharing rule is "highfive".
game:Player.ini:MaxFreeTeleportLevel|affects|game:Rates.ini:RateTeleportFee||Above this level, teleports cost the gatekeeper price times the teleport price rate.
game:Player.ini:RetailLikeAugmentationNoGradeChance|requires|game:Player.ini:RetailLikeAugmentation|true|Color odds are only used with retail-like augmentation.
game:Player.ini:RetailLikeAugmentationMidGradeChance|requires|game:Player.ini:RetailLikeAugmentation|true|Color odds are only used with retail-like augmentation.
game:Player.ini:RetailLikeAugmentationHighGradeChance|requires|game:Player.ini:RetailLikeAugmentation|true|Color odds are only used with retail-like augmentation.
game:Player.ini:RetailLikeAugmentationTopGradeChance|requires|game:Player.ini:RetailLikeAugmentation|true|Color odds are only used with retail-like augmentation.
game:Player.ini:AugmentationNGGlowChance|requires|game:Player.ini:RetailLikeAugmentation|false|Glow and skill chances are ignored while retail-like augmentation is on.
game:Player.ini:AugmentationMidGlowChance|requires|game:Player.ini:RetailLikeAugmentation|false|Glow and skill chances are ignored while retail-like augmentation is on.
game:Player.ini:AugmentationHighGlowChance|requires|game:Player.ini:RetailLikeAugmentation|false|Glow and skill chances are ignored while retail-like augmentation is on.
game:Player.ini:AugmentationTopGlowChance|requires|game:Player.ini:RetailLikeAugmentation|false|Glow and skill chances are ignored while retail-like augmentation is on.
game:Player.ini:AugmentationBaseStatChance|requires|game:Player.ini:RetailLikeAugmentation|false|Glow and skill chances are ignored while retail-like augmentation is on.
game:Player.ini:FortressZoneFameTaskFrequency|requires|game:Player.ini:EnableFameSystem|true|The fame system is off.
game:Player.ini:FortressZoneFameAquirePoints|requires|game:Player.ini:EnableFameSystem|true|The fame system is off.
game:Player.ini:CastleZoneFameTaskFrequency|requires|game:Player.ini:EnableFameSystem|true|The fame system is off.
game:Player.ini:CastleZoneFameAquirePoints|requires|game:Player.ini:EnableFameSystem|true|The fame system is off.
game:Player.ini:MaxPersonalFamePoints|requires|game:Player.ini:EnableFameSystem|true|The fame system is off.
game:Player.ini:FameForDeadPlayers|requires|game:Player.ini:EnableFameSystem|true|The fame system is off.
